Turno 1: El jugador Bot jugó la carta MAS 1. Puntos de Nahuel: 0, puntos del Bot: 1
Turno 2: El jugador Nahuel jugó la carta REPETIR TURNO. Puntos de Nahuel: 0, puntos del Bot: 1
Turno 3: El jugador Nahuel jugó la carta MAS 1. Puntos de Nahuel: 1, puntos del Bot: 1
Turno 4: El jugador Bot jugó la carta MENOS 1. Puntos de Nahuel: 0, puntos del Bot: 1
Turno 5: El jugador Nahuel jugó la carta ESPEJO. Puntos de Nahuel: 1, puntos del Bot: 0
Turno 6: El jugador Bot jugó la carta MENOS 2. Puntos de Nahuel: 0, puntos del Bot: 0
Turno 7: El jugador Nahuel jugó la carta MAS 2. Puntos de Nahuel: 2, puntos del Bot: 0
Turno 8: El jugador Bot jugó la carta MAS 2. Puntos de Nahuel: 2, puntos del Bot: 2
Turno 9: El jugador Nahuel jugó la carta MAS 2. Puntos de Nahuel: 4, puntos del Bot: 2
Turno 10: El jugador Bot jugó la carta MAS 1. Puntos de Nahuel: 4, puntos del Bot: 3
Turno 11: El jugador Nahuel jugó la carta MENOS 1. Puntos de Nahuel: 4, puntos del Bot: 2
Turno 12: El jugador Bot jugó la carta MENOS 1. Puntos de Nahuel: 3, puntos del Bot: 2
Turno 13: El jugador Nahuel jugó la carta MAS 2. Puntos de Nahuel: 5, puntos del Bot: 2
Turno 14: El jugador Bot jugó la carta MAS 1. Puntos de Nahuel: 5, puntos del Bot: 3
Turno 15: El jugador Nahuel jugó la carta MENOS 2. Puntos de Nahuel: 5, puntos del Bot: 1
Turno 16: El jugador Bot jugó la carta MAS 1. Puntos de Nahuel: 5, puntos del Bot: 2
Turno 17: El jugador Nahuel jugó la carta REPETIR TURNO. Puntos de Nahuel: 5, puntos del Bot: 2
Turno 18: El jugador Nahuel jugó la carta MAS 1. Puntos de Nahuel: 6, puntos del Bot: 2
Turno 19: El jugador Bot jugó la carta MAS 2. Puntos de Nahuel: 6, puntos del Bot: 4
Turno 20: El jugador Nahuel jugó la carta MAS 1. Puntos de Nahuel: 7, puntos del Bot: 4
Turno 21: El jugador Bot jugó la carta REPETIR TURNO. Puntos de Nahuel: 7, puntos del Bot: 4
Turno 22: El jugador Bot jugó la carta MENOS 2. Puntos de Nahuel: 5, puntos del Bot: 4
Turno 23: El jugador Nahuel jugó la carta ESPEJO. Puntos de Nahuel: 7, puntos del Bot: 2
Turno 24: El jugador Bot jugó la carta ESPEJO. Puntos de Nahuel: 7, puntos del Bot: 2
Turno 25: El jugador Nahuel jugó la carta MAS 1. Puntos de Nahuel: 8, puntos del Bot: 2
Turno 26: El jugador Bot jugó la carta MAS 1. Puntos de Nahuel: 8, puntos del Bot: 3
Turno 27: El jugador Nahuel jugó la carta MENOS 2. Puntos de Nahuel: 8, puntos del Bot: 1
Turno 28: El jugador Bot jugó la carta REPETIR TURNO. Puntos de Nahuel: 8, puntos del Bot: 1
Turno 29: El jugador Bot jugó la carta REPETIR TURNO. Puntos de Nahuel: 8, puntos del Bot: 1
Turno 30: El jugador Bot jugó la carta MAS 1. Puntos de Nahuel: 8, puntos del Bot: 2
Turno 31: El jugador Nahuel jugó la carta MENOS 2. Puntos de Nahuel: 8, puntos del Bot: 0
Turno 32: El jugador Bot jugó la carta MENOS 2. Puntos de Nahuel: 6, puntos del Bot: 0
Turno 33: El jugador Nahuel jugó la carta REPETIR TURNO. Puntos de Nahuel: 6, puntos del Bot: 0
Turno 34: El jugador Nahuel jugó la carta MENOS 1. Puntos de Nahuel: 6, puntos del Bot: 0
Turno 35: El jugador Bot jugó la carta ESPEJO. Puntos de Nahuel: 5, puntos del Bot: 1
Turno 36: El jugador Nahuel jugó la carta MAS 2. Puntos de Nahuel: 7, puntos del Bot: 1
Turno 37: El jugador Bot jugó la carta MENOS 1. Puntos de Nahuel: 6, puntos del Bot: 1
Turno 38: El jugador Nahuel jugó la carta MENOS 1. Puntos de Nahuel: 6, puntos del Bot: 0
Turno 39: El jugador Bot jugó la carta REPETIR TURNO. Puntos de Nahuel: 6, puntos del Bot: 0
Turno 40: El jugador Bot jugó la carta MENOS 2. Puntos de Nahuel: 4, puntos del Bot: 0
Turno 41: El jugador Nahuel jugó la carta ESPEJO. Puntos de Nahuel: 6, puntos del Bot: 0
Turno 42: El jugador Bot jugó la carta MAS 1. Puntos de Nahuel: 6, puntos del Bot: 1
Turno 43: El jugador Nahuel jugó la carta MENOS 1. Puntos de Nahuel: 6, puntos del Bot: 0
Turno 44: El jugador Bot jugó la carta MENOS 1. Puntos de Nahuel: 5, puntos del Bot: 0
